address,x,y
406 ANG MO KIO AVE 10,30288.2346631354,38229.0674628187
108 ANG MO KIO AVE 4,28518.1832851656,39217.3989152815
602 ANG MO KIO AVE 5,28228.0999537045,40297.2831488103
465 ANG MO KIO AVE 10,30657.8246932384,38693.0986568723
601 ANG MO KIO AVE 5,28201.7822445426,40334.0520295352
150 ANG MO KIO AVE 5,28968.1332683703,39865.8164612036
447 ANG MO KIO AVE 10,30512.813386295,38837.139905205
218 ANG MO KIO AVE 1,28937.4798521483,38573.4500436708
571 ANG MO KIO AVE 3,30399.5870944131,39119.2488639448
534 ANG MO KIO AVE 10,30320.30304706,39561.9293249641
233 ANG MO KIO AVE 3,28380.8330470454,38842.1638154108
235 ANG MO KIO AVE 3,28353.0784864286,38761.9260844272
219 ANG MO KIO AVE 1,28816.3492579265,38668.8640811536
536 ANG MO KIO AVE 10,30312.7735228948,39607.8534837943
230 ANG MO KIO AVE 3,28509.4568135841,38986.4857084882
570 ANG MO KIO AVE 3,30526.7426821338,39084.8139777128
624 ANG MO KIO AVE 4,28743.8101280658,40391.5914363135
441 ANG MO KIO AVE 10,30320.3262626035,38676.4249629509
625 ANG MO KIO AVE 9,28878.3857606538,40462.0242171884
119 ANG MO KIO AVE 3,29266.4932891754,39064.8857793771
255 ANG MO KIO AVE 4,28145.969263019,39185.5673480611
432 ANG MO KIO AVE 10,30257.1120628985,38926.289620243
211 ANG MO KIO AVE 3,28929.0379298814,39024.3611866981
584 ANG MO KIO AVE 3,30245.7025161674,39192.0132178739
118 ANG MO KIO AVE 4,28240.0632531969,39477.603025008
333 ANG MO KIO AVE 1,30045.4833755,38155.8667959049
256 ANG MO KIO AVE 4,28294.8144035833,39181.178218009
330 ANG MO KIO AVE 1,29971.1495055445,38276.3163302261
557 ANG MO KIO AVE 10,30717.3733190438,39292.9307314958
302 ANG MO KIO AVE 3,29373.4744485123,38791.3669652212
575 ANG MO KIO AVE 10,30518.9740106286,39266.7057937048
509 ANG MO KIO AVE 8,29871.9957073322,39555.5569155477
472 ANG MO KIO AVE 10,30759.9490216402,38355.059549246
475 ANG MO KIO AVE 10,30581.5912348917,38301.8769463114
629 ANG MO KIO AVE 4,28789.039091846,40230.4771080129
546 ANG MO KIO AVE 10,30637.9241598397,39516.9034896214
131 ANG MO KIO AVE 3,28943.9150373628,39225.4304642249
254 ANG MO KIO AVE 4,28152.3690952277,39135.6504789609
470 ANG MO KIO AVE 10,30601.4321100945,38460.5632980298
463 ANG MO KIO AVE 10,30689.7280863831,38775.686757328
207 ANG MO KIO AVE 1,29060.4855782297,38651.0529769398
304 ANG MO KIO AVE 1,29299.4196190983,38702.5303119384
646 ANG MO KIO AVE 6,29162.399695484,40152.028457012
328 ANG MO KIO AVE 3,29619.0524934148,38739.1886237189
588C ANG MO KIO ST 52,30264.9737479165,39315.6903483681
588D ANG MO KIO ST 52,30288.6036298573,39307.1139757186
101 ANG MO KIO AVE 3,28684.3447392145,39142.0805186182
430 ANG MO KIO AVE 3,30163.7457453171,39001.801338518
520 ANG MO KIO AVE 5,29982.6621752949,39489.7149100322
716 ANG MO KIO AVE 6,29396.6812445764,39276.5696755778
588A ANG MO KIO ST 52,30166.5017663063,39342.8156073373
